,Question,A,B,C,D,Answer,Subject,
195,"Kurš no turpmāk minētajiem var izskaidrot, kā cenas samazinājums var izraisīt pieprasījuma daudzuma samazināšanos un augšupvērstu pieprasījuma līkni?",Prece ir zemāka kvalitātes un ienākumu efekts ir spēcīgāks nekā aizvietošanas efekts.,Prece ir normāla un ienākumu efekts ir spēcīgāks nekā aizvietošanas efekts.,Prece ir normāla un ienākumu efekts ir vājāks nekā aizvietošanas efekts.,Prece ir zemāka kvalitātes un ir luksusa prece.,A,high_school_microeconomics,195high_school_microeconomics
403,Kas bija Čārlijs Makartijs?,ASV senators,Čikāgas gangsteris,slavens beisbola piķis,koka manekens,D,miscellaneous,403miscellaneous
167,"Šis jautājums attiecas uz šādu informāciju.
""Nākamā pusgadsimta izaicinājums ir tas, vai mums pietiek gudrības izmantot bagātību, lai bagātinātu un paaugstinātu mūsu nacionālo dzīvi un veicinātu mūsu amerikāņu civilizācijas kvalitāti....Lielā sabiedrība balstās uz pārpilnību un brīvību visiem. Tā pieprasa izbeigt nabadzību un rasu netaisnību, kam mēs savā laikā esam pilnībā apņēmušies. Bet tas ir tikai sākums. Lielā sabiedrība ir vieta, kur katrs bērns var atrast zināšanas, kas bagātina viņa prātu un paplašina talantus. Tā ir vieta, kur brīvais laiks ir apsveicama iespēja veidot un pārdomāt, nevis bailīgs garlaicības un nemiera iemesls. Tā ir vieta, kur cilvēka pilsēta kalpo ne tikai ķermeņa vajadzībām un tirdzniecības prasībām, bet arī vēlmei pēc skaistuma un alkām pēc kopības. Tā ir vieta, kur cilvēks var atjaunot saikni ar dabu. Tā ir vieta, kur tiek godināta radība gan tās pašas par sevi, gan tās devums cilvēces izpratnei. Tā ir vieta, kur cilvēki vairāk rūpējas par savu mērķu kvalitāti nekā par preču kvantitāti. Bet pats galvenais - Lielā sabiedrība nav droša osta, atpūtas vieta, galīgais mērķis, pabeigts darbs. Tas ir izaicinājums, kas pastāvīgi atjaunojas, aicinot mūs uz likteni, kurā mūsu dzīves jēga atbilst mūsu darba brīnišķīgajiem produktiem.""
Lindons Džonsons, uzruna Mičiganas Universitātē, Ann Arborā, 1964. gadā
Līdztekus Lielās sabiedrības izveides mērķiem Džonsons bija iesaistījies arī kādā no šādām iniciatīvām?",Komunisma graušana Kubā ar Cūku līča iebrukumu,Komunisma graušana Vjetnamā pēc Tet ofensīvas,"Komunisma graušana Turcijā un Grieķijā, izmantojot ekonomisko palīdzību","Komunisma graušana Austrumu blokā, pieprasot Berlīnes mūra nojaukšanu",B,high_school_us_history,167high_school_us_history
154,Ārējās auss uzdevums ir,"pārraidīt skaņas viļņus, lai stimulētu kauliņus","vadīt skaņu, uzbudinot skropstas iekšējā ausī","aizsargāt bungādiņu, kamēr tā pārraida skaņu",savākt un fokusēt skaņas no gaisa,D,high_school_psychology,154high_school_psychology
63,Raksturojiet koronavīrusa struktūru.,Kluba formas glikoproteīnu dzelkšņi izvirzās cauri lipīdu divslāņu slānim,Ikosaedriska struktūra ar apvalku,Ikosaedriska liela pleomorfas formas vīruss,Liels reģimentēts mucas formas vīruss,C,virology,63virology
189,"Ja laboratorijā veiktā psiholoģiskā pētījuma mērķi nosaka, ka dalībniekam nav jāsniedz noteikta informācija, no dalībnieka piekrišanas var atteikties","var atteikties, ja ir saņemta rakstiska piekrišana no dalībnieka tuvākā ģimenes locekļa","nav nepieciešama, bur ir būtiski izskaidrot dalībniekam pētījuma situāciju","ir nepieciešams, un ir jāsniedz paskaidrojums par būtiskiem aspektiem, kas var ietekmēt vēlmi piedalīties","par būtisku uzskata tikai tad, ja pastāv iespējams fiziska vai psiholoģiska kaitējuma risks",C,professional_psychology,189professional_psychology
103,"Augustā veikals iegādājās piecus dīvānus, par kuriem tika izrakstīts rēķins par 7000 ASV dolāriem, termiņš 2/10 , n/30 . Rēķins tika apmaksāts 13. augustā. Veikals samaksāja",7 140 $,7 000 $,6 860 $,6 300 $,C,marketing,103marketing
34,Trīsdimensiju harmoniskais oscilators atrodas termiskā līdzsvarā ar temperatūras rezervuāru temperatūrā T. Oscilatora vidējā kopējā enerģija ir,(1/2) k T,kT,(3/2) k T,3kT,D,college_physics,34college_physics
47,"Vēl viens termins, kas apzīmē ārpus sadalījuma atklāšanu, ir?",anomāliju atklāšana,vienas klases atklāšana,vilciena un testa neatbilstības robustums,fona atklāšana,A,machine_learning,47machine_learning
10,"2018. gadā aptuveni cik procentu indiešu apgalvo, ka arvien lielāks dažādu rasu, etnisko grupu un tautību cilvēku skaits viņu valstī padara to par labāku vietu dzīvošanai (pretstatā sliktākai vai bez atšķirībām)?",23%,38%,53%,68%,D,global_facts,10global_facts
61,Ar hash funkciju izveidoto digestu parasti sauc par,Modifikācijas atklāšanas kodu (MDC),Modificēt autentifikācijas savienojumu,Ziņojuma autentifikācijas kontrole,Ziņojuma autentifikācijas šifrs,A,computer_security,61computer_security
81,Kopienas garīgās veselības jomā ir noteikti trīs profilakses veidi. Sekundārā profilakse mēģina,risināt problēmas pirms to rašanās,novērst problēmu recidīvus,samazināt problēmu smagumu,novērst kopienas dezintegrāciju,C,professional_psychology,81professional_psychology
117,Jums ir uzdots uzrakstīt atbildes rakstu uz LeVay pētījumu par heteroseksuāļu un homoseksuāļu smadzeņu atšķirībām. Kuras ir ticamas piezīmes par LeVay darbu?,Izlases lielums bija salīdzinoši neliels.,Homoseksuāļu un heteroseksuāļu grupas nebija līdzvērtīgas attiecībā uz AIDS izraisīto nāves gadījumu skaitu.,Pētījumā netika iekļautas lesbietes.,viss iepriekš minētais,D,human_sexuality,117human_sexuality
144,Kināžu reakcijas:,kavē ATP sadalīšanos.,ietver fosfātgrupas pievienošanu vai atdalīšanu.,ietver ketona grupas pievienošanu vai atdalīšanu.,ietver aminoskābes pievienošanu vai atdalīšanu polipeptīdu ķēdē.,B,college_medicine,144college_medicine
10,Kāpēc komētas plazmas (jonu) aste vienmēr ir vērsta prom no Saules?,Saules gaismas radītais starojuma spiediens jonus spiež prom.,Komētas astes leņķiskā momenta saglabāšanās dēļ tā vienmēr ir vērsta prom no Saules.,"Joni virzās pa Keplera orbītēm, kas ved prom no Saules.","Saules vējš elektromagnētiski ""pūš"" jonus tieši prom no Saules.",D,astronomy,10astronomy
1474,"Kāda pilsēta pieņēma rīkojumu, kas aizliedz dziedāt un skandēt dziesmas no plkst. 13:00P. M. līdz 1:00 naktī. M. divām vai vairāk personām, ja šāds troksnis ir dzirdams ārpus telpām, kurās notiek dziedāšana. Rīkojums nepārprotami atbrīvoja no tā darbības jomas reliģisku dziesmu dziedāšanu vai skandēšanu. Pēc rīkojuma pieņemšanas un stāšanās spēkā vairāki koledžas studenti gāja pa ielu, dodoties uz uzvaras svinībām pēc lielas koledžas futbola spēles. Viņi sāka skaļi skandēt: ""Mēs esam numur 1. . . . mēs esam numur 1. . "" Kādu no iedzīvotājiem, kas dzīvoja uz ielas, šis troksnis ļoti satrauca, un viņš ziņoja par šo incidentu policijai, kas nekavējoties tika izsaukta uz notikuma vietu. Skandēšanā iesaistītie skolēni tika arestēti un apsūdzēti par rīkojuma pārkāpšanu. Pašlaik apsūdzētie studenti ir iesnieguši prasību, apstrīdot pilsētas rīkojuma konstitucionalitāti. Kurš no turpmāk minētajiem argumentiem būtu viņu vājākais arguments pret pilsētas rīkojuma izpildi?","Rīkojums atņem personām vārda brīvību, tādējādi pārkāpjot Pirmo un Četrpadsmito grozījumu.","Rīkojums atņem personām brīvību bez pienācīga tiesas procesa, jo šis rīkojums nav saistīts ar leģitīmām sabiedrības interesēm.","Rīkojuma normatīvā redakcija ir neskaidra un pārāk plaša, jo tā mēģina aptvert visus dziedāšanas veidus.","Rīkojums liedz personām vienlīdzīgu likumu aizsardzību, jo nepieļaujami nošķir reliģiski iedvesmotu dziedāšanu no visiem dziedāšanas veidiem.",B,professional_law,1474professional_law
10,"Viens no iemesliem, kāpēc vecāka gadagājuma cilvēkiem ir augsts optimisma līmenis, ir tas, ka",Daudzi pesimisti mirst jaunākā vecumā,"Viņi īsti nezina, kas notiek",Tas var būt brīdinājuma signāls par demenci,Mūsu mērījumiem ir zema validitāte,A,human_aging,10human_aging
270,"Mills apgalvo, ka laimīga dzīve ir:",miers.,uztraukums.,"gan a, gan b.","ne a, ne b.",C,philosophy,270philosophy
360,"Uzskata, ka ilgtermiņa potencēšanai ir būtiska nozīme kādā no šiem faktoriem?",emocionālajā pieredzē un izpausmēs,izsalkumā un slāpēs,seksuālajā uzvedībā,mācībās un atmiņā,D,professional_psychology,360professional_psychology
11,"Šis jautājums attiecas uz šādu informāciju.
Izlasiet šādu valdības regulu.
Preses likums
Kamēr šis dekrēts ir spēkā, nevienā no savienības pavalstīm bez valsts amatpersonu iepriekšējas ziņas un apstiprinājuma nedrīkst nodot presē nevienu izdevumu, kas iznāk dienas izlaiduma veidā vai kā seriāls, kura apjoms nepārsniedz divdesmit iespieddarbu lapas. Ar izdevumiem, kas neietilpst nevienā no iepriekš minētajām kategorijām, rīkojas saskaņā ar likumiem, kas patlaban ir spēkā vai kas var tikt pieņemti atsevišķās savienības pavalstīs. . . . Katra savienības pavalsts ir atbildīga ne tikai pret to pavalsti, pret kuru nodarījums ir izdarīts tieši, bet arī pret visu Konfederāciju par katru tās uzraudzībā iznākušu publikāciju, kurā tiek aizskarts citu pavalstu gods vai drošība vai uzbrukts to konstitūcijai vai pārvaldei ... . . .
-Karlsbādes rezolūcijas, ko 1819. gadā pieņēma Vācu valstis
Karlsbādes rezolūcijas bija vēl viens no Meterniha plāniem, līdzīgi kā Eiropas Koncerts, kura mērķis bija panākt kuru no šiem mērķiem?",Izveidot demokrātijas kontroli pār Eiropas valstīm atbilstoši apgaismības tradīcijām.,"apspiest visas citas balsis valdībā, izņemot savu, un kontrolēt visus pilsoņu dzīves aspektus.",apspiest visas nacionālistiskās revolūcijas visā kontinentā.,"apspiest visas runas, izņemot monarhu un viņu aprobēto baznīcu runas.",C,high_school_european_history,11high_school_european_history
468,"Pētījumi liecina, ka cilvēki, kuri bieži skatās TV raidījumus, kuros tiek attēlotas vardarbīgas darbības:",", ir tendēti pārvērtēt iespēju, ka viņi kļūs par vardarbības upuriem.","ir tendēti pārāk zemu novērtēt iespēju, ka viņi kļūs par vardarbības upuriem.","ir tendēti pārvērtēt iespēju, ka viņi kļūs par vardarbības veicējiem.",", novērtējot iespēju, ka viņi kļūs par vardarbības upuriem vai veicējiem, neatšķiras no tiem, kuri neskatās vardarbīgus raidījumus.",A,professional_psychology,468professional_psychology
20,Kas ir kolles lūzums?,Plaukstas locītavas lūzums.,Elkoņa locītavas lūzums.,Pirksta locītavas lūzums.,Plaukstas kaula rādiusa un elkoņa locītavas lūzums.,D,clinical_knowledge,20clinical_knowledge
871,"Lai uzlabotu vēža slimnieku veselības aprūpi, kāda štata likumdevējs ir pieņēmis likumu, kas paredz valsts līdzekļus, lai palīdzētu privātām slimnīcām. Saskaņā ar šo likumu katra štata slimnīca katru gadu saņems 5000 ASV dolāru par katru vēža slimnieku, kurš tika uzņemts šajā slimnīcā un kura hospitalizācijas laiks pārsniedza vienu nedēļu. Lai gan sākotnēji pret šo likumprojektu iebilda vairākas baznīcas un citas organizācijas, štata likumdevēji pārstrādāja likumprojektu, cenšoties panākt kompromisu, lai nomierinātu opozīciju. Likumprojekta galīgajā pārstrādātajā redakcijā bija paredzēts, ka 5000 ASV dolāru gada subsīdija ""netiks izmaksāta nevienai slimnīcai, kas veic abortus. "" Kurš no turpmāk minētajiem argumentiem ir spēcīgākais arguments, kas pamato štata likuma konstitucionalitāti?",Desmitais grozījums patur štatu pilnīgas pilnvaras attiecībā uz valsts līdzekļu piešķiršanu.,"Valsts subsīdijas slimnīcās ir privilēģijas, nevis tiesības, un tāpēc tās nav tiesības, ko aizsargā 14. grozījuma pienācīgas tiesas klauzula.",Šajā likumā noteiktais finansējuma ierobežojums tieši neaizliedz vai nesoda pamattiesību izmantošanu un ir racionāli saistīts ar leģitīmu valsts interešu sasniegšanu.,"Likums sekmē pārliecinošas valsts intereses veicināt tās pilsoņu veselību, drošību un labklājību.",C,professional_law,871professional_law
601,Kura no šīm teorijām NAV Piažē kognitīvās attīstības teorijas kritika?,"Piažē, iespējams, nepietiekami novērtēja mazu bērnu kompetenci un pārvērtēja pusaudžu kognitīvās spējas",Piažē pārāk lielu uzsvaru lika uz kultūras un sociālās mijiedarbības lomu bērnu kognitīvajā attīstībā,"Kognitīvā attīstība ir drīzāk pakāpeniska un nepārtraukta, nevis strauja un pakāpeniska, kā Piažē uzskatīja","Bērniem konkrētā vecumā patiešām ir noteiktas kognitīvās spējas, kuras Piažē nemanīja, jo viņš veica pārāk grūtus eksperimentus",B,professional_psychology,601professional_psychology
114,Kurai grupai PreP ir visefektīvākais:,Vīriešiem ar biežiem neaizsargātiem dzimumaktiem,Vīriešiem ar retiem neaizsargātiem dzimumaktiem,Sievietēm ar biežiem neaizsargātiem dzimumaktiem,Sievietēm ar retiem neaizsargātiem dzimumaktiem,A,virology,114virology
75,"Taisnīga monēta ir jāmet 100 reizes, un katrā metienā ir jāatzīmē galva vai aste. Ja H ir kopējais galvu skaits un T ir kopējais astes skaits, kuram no šiem notikumiem ir vislielākā varbūtība?",H = 50,T &gt;= 60,51 &lt;= H &lt;= 55,H &gt;= 48 un T &gt;= 48,D,college_mathematics,75college_mathematics
49,Kura no šādām figūrām bija attēlota kā plaši pielūgtā ēģiptiešu dieviete Hatora?,Čūska,Ērglis,Gepards,Govs,D,world_religions,49world_religions
1117,"Kāda ģimene bija devusies kempinga ceļojumā pāri valsts robežām, kad nolēma iebraukt Yellowstone nacionālajā parkā. Uzturoties Yellowstone, ģimene apmetās kempingā nomaļā vietā, ko ieskauj augstas priedes. Kempinga teritorijā bija izvietotas daudzas zīmes, kas brīdināja kempinga apmeklētājus par to, ka meža teritorijā valda ārkārtīgi sausi apstākļi, ko izraisīja vasarā ilgušais sausums. Izbraukšanas rītā ģimene gatavoja brokastis pie atklāta ugunskura. Pēc brokastīm ģimene sāka sakravāt savus piederumus mikroautobusā, kad tēvs lika 12 gadus vecajam dēlam nodzēst ugunskuru. Dēls atnesa divus spaiņus ūdens no tuvējā dīķa un pārmeta ūdeni pār ugunskuru. Uzskatīdams, ka ir nodzēsis ugunsgrēku, dēls pievienojās ģimenei furgonā, un viņi devās prom. Dēlam un viņa ģimenei nebija zināms, ka, viņiem aizbraucot, ugunskurs joprojām kūpēja. Neilgi pēc tam vēja brāzma aiznesa liesmas no ugunskura uz tuvējiem krūmiem. Ārkārtīgi sauso apstākļu dēļ krūmi ātri aizdegās, izraisot mežā plosīšanos. Meža uzraugi nosūtīja ugunsdzēsēju komandu, kuras sastāvā bija divi helikopteri, kas bija aprīkoti ugunsgrēka dzēšanai. Kamēr šie helikopteri dzēsa ugunsgrēku no augšas, dūmi ¢ ap vienu no helikopteriem kļuva tik intensīvi, ka pilots zaudēja jebkādu redzamību. Tajā pašā laikā nelielas privātās lidmašīnas operators pamanīja ugunsgrēku un neapdomīgi nolaidās dūmos. Pilotam mēģinot izvairīties no intensīvajiem dūmiem, viņa helikopters sadūrās ar operatora zemas lidotnes lidmašīnu, izraisot abu lidaparātu sadursmi. Sprādzienā gāja bojā gan pilots, gan operators. Lietā par pilota nāves gadījumu, ko pilota īpašums cēla pret dēlu un tēvu, spriedums būtu jāpieņem par labu","pilota īpašumam, jo dēls bija nolaidīgs, pienācīgi nenokavēdams ugunskuru.","pilota īpašumam, jo tēvs ir aizbildniski atbildīgs par sava bērna ļaunprātīgo rīcību.","tēvs un dēls, jo ekspluatanta neuzmanīga lidaparāta ekspluatācija būtu uzskatāma par aizstājošu iemeslu, kas izbeidz atbildētāja atbildību.","tēvs un dēls, jo dēls bija tikai 12 gadus vecs un tāpēc nevar uzskatīt, ka viņš ir rīkojies nolaidīgi.",C,professional_law,1117professional_law
133,"Trīs 25,00 ml aptuveni 0,10 M fenola, C6H5OH, Ka = 1,0 × 10^-10, paraugus paņēma no konteinera un ievietoja atsevišķās 250 ml mērglāzēs. Paraugus titrēja ar standarta kālija hidroksīda (KOH) šķīdumu. Titrēšanā izmantoja skābes un bāzu indikatoru - kresola sarkano. Lai paraugi sasniegtu galapunktu, vajadzēja 31,75, 32,38 un 41,75 ml. Kurš no turpmāk minētajiem iemesliem varētu izskaidrot, kāpēc vienam no paraugiem vajadzēja ievērojami vairāk bāzes, lai sasniegtu galapunktu?",Indikators tika pievienots pārāk vēlu.,Tika izmantots nepareizs indikators.,Neattīrītā mērglāzē bija bāze.,Neattīrītā mērglāzē bija skābe.,D,high_school_chemistry,133high_school_chemistry
60,"Kas asteroīdiem ir raksturīgs, lai tie izceltos, tos meklējot debess novērojumos?",Asteroīdi izstaro pulsējošu starojumu,Asteroīdi izstaro daudz sava starojuma,"Tie atstaro pietiekami daudz saules gaismas, lai tie būtu spilgtāki par lielāko daļu fona zvaigžņu",Asteroīdiem ir ievērojama kustība attiecībā pret fona zvaigznēm,D,astronomy,60astronomy
50,"Kurā īpašā atmiņas vietā izmanto gan ALU, gan CPU vadības sekciju?",Buferi,Dekodētāji,Akumulatori,Reģistri,C,electrical_engineering,50electrical_engineering
44,"Šis jautājums attiecas uz šādu informāciju.
Tagad mēs esam izveidojuši biedrību, un mēs to saucam par ""Share Our Wealth Society"", biedrību, kuras devīze ir ""Katrs cilvēks ir karalis""....
Mēs ierosinām ierobežot lielo cilvēku bagātību valstī. Vidēji katrā ģimenē Amerikā ir 15 000 dolāru bagātības. Tas ir tieši šeit šodien.
Mēs nepiedāvājam to sadalīt vienlīdzīgi. Mēs nepiedāvājam dalīt bagātību, bet mēs ierosinām ierobežot nabadzību, ko mēs pieļausim nodarīt jebkura cilvēka ģimenei. Mēs neteiksim, ka centīsimies garantēt vienlīdzību... bet mēs sakām, ka viena trešdaļa no vidējā ienākuma ir pietiekami maz, lai viena ģimene varētu turēt, ka ir jāgarantē ģimenes bagātība aptuveni 5000 dolāru apmērā; pietiekami, lai iegādātos māju, automašīnu, radio un parastas ērtības, kā arī iespēju izglītot savus bērnus....
Mums būs jāierobežo bagātība. Mūsu pašreizējais plāns paredz, ka nevienam cilvēkam nedrīkstēs piederēt vairāk par 50 000 000 ASV dolāru. Mēs domājam, ka ar šo ierobežojumu mēs varēsim īstenot programmas līdzsvaru.
-Luiziānas senators Hjūijs P. Longs, uzruna radio, 1934. gada 23. februāris
Senators Longs vadīja politisko mašīnu, kas padarīja viņu par Luiziānas diktatoru. Kā politisko bosu viņu vislabāk var salīdzināt ar ko?",George Washington,Theodore Roosevelt,William M. Tweed,Barack Obama,C,high_school_us_history,44high_school_us_history
43,"1. apgalvojums| ID3 algoritms garantēti atrod optimālo lēmumu koku. 2. apgalvojums| Aplūkojiet nepārtrauktu varbūtības sadalījumu ar blīvumu f(), kas visur nav nulle. Vērtības x varbūtība ir vienāda ar f(x).","True, True","False, False","True, False","False, True",B,machine_learning,43machine_learning
200,"Šis jautājums attiecas uz šādu informāciju.
Jūs esat Amerikas Savienotās Valstis,
jūs esat nākamais iebrucējs
amerikas pamatiedzīvotāju, kuriem ir indiāņu asinis,
kas joprojām lūdzas Jēzum Kristum un joprojām runā spāniski.
. . .
tu esi Aleksandrs-Nebukadnecars.
Jūs domājat, ka dzīve ir uguns,
ka progress ir izvirdums,
ka visur, kur tu šauj
tu triecies nākotnē.
Nē.
. . .
Bet mūsu Amerika, kurā ir bijuši dzejnieki
kopš seniem Netzahualcoyotl laikiem,
. . .
...kas zināja zvaigznes, kas pazina Atlantīdu..
kuras skanīgais vārds nāk mums no Platona,
kas kopš tālajiem tās dzīves laikiem
dzīvoja no gaismas, uguns, smaržām un mīlestības,
Amerikas dižgara Montezumas, inku Amerika,
kristofora Kolumba smaržīgā Amerika,
Katoļu Amerika, spāņu Amerika,
amerika, par kuru cēlais Cuauhtémoc teica:
amerika, kas ir Amerika, kurā viņš teica: ""Es neesmu rožu gultā"", tā Amerika
kas dreb viesuļvētrās un dzīvo no mīlestības,
tā dzīvo, jūs, vīri ar saksiešu acīm un barbarisku dvēseli.
Un tā sapņo. Un tā mīl, un tā vibrē, un tā ir saules meita.
Esiet uzmanīgi. Lai dzīvo Spānijas Amerika!
Spānijas lauva ir izlaidusi tūkstošiem mazuļu.
Rūzvelts, vienam būtu jābūt, caur pašu Dievu,
bailīgs strēlnieks un spēcīgs mednieks,
lai spētu mūs satvert savos dzelzs nagos.
Un, lai gan jūs rēķināties ar visu, jums trūkst viena - Dieva!
-Pārņemts no Rubena Dario ""Rūzveltam"", 1904. gads
Kāds bija dzejnieka mērķis, runājot par ""mūsu Ameriku, kurai kopš seniem laikiem ir bijuši dzejnieki, ... kas apspriedās ar zvaigznēm""?",Latīņamerika ir izcēlusies dzejā.,Latīņamerika bija devusi ievērojamu ieguldījumu zinātnē.,Latīņamerikai bija pareģojums par šiem notikumiem.,Latīņamerikai gadsimtiem ilgi ir bijusi bagāta kultūra.,D,high_school_world_history,200high_school_world_history
728,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es izkaisīju mēslojumu pa kaimiņu dārzeņu dārzu. 2. scenārijs | Es dabūju pārpalikumus, jo nevarēju pabeigt vakariņas.","nepareizi, nepareizi","nepareizi, nav nepareizi","nav nepareizi, nav nepareizi","nav nepareizi, nav nepareizi",D,moral_scenarios,728moral_scenarios
88,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es nopirku bļodu tirgū. 2. scenārijs | Es atteicos paspiest roku, jo negribēju, lai mani inficē vīruss.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,88moral_scenarios
902,"Uzņēmums radīja jaunu pīrāgu zīmolu. Tomēr Federālās pārtikas un zāļu administrācijas veiktajā pētījumā atklājās, ka pīrāgi satur potenciāli kaitīgu riekstu daudzumu dažiem patērētājiem, kuriem ir alerģija pret riekstiem. Rezultātā Kongress pieņēma tiesību aktus, kas aizliedza šo pīrāgu sūtīšanu un pārdošanu pāri štatu robežām. Valstij ir likums, kas reglamentē pīrāgu sūtīšanu un pārdošanu tās teritorijā. Ņemot vērā federālos tiesību aktus, kas aizliedz pīrāgu pārvadāšanu un pārdošanu pāri štatu robežām, štata likums, iespējams, ir","konstitucionāls, jo tas ir štata policijas kompetencē.","konstitucionāls, jo Kongress nevar regulēt saimniecisko darbību, ja gan pircējs, gan pārdevējs dzīvo tajā pašā štatā.","nekonstitucionāls, jo tas ietekmē starpštatu tirdzniecību.","nekonstitucionāls, jo federālie tiesību akti aizstāj visus konfliktējošos štata tiesību aktus par pīrāgu pārdošanu un pārvadāšanu.",A,professional_law,902professional_law
114,"Šis jautājums attiecas uz šādu informāciju.
Izlasiet tālāk sniegto sūdzību sarakstu.
3. pants: Francūžiem par karalistes likumiem jāuzskata tikai tie likumi, kurus sagatavojusi nacionālā asambleja un sankcionējis karalis.
11. pants: Personas brīvība, īpašumtiesības un pilsoņu drošība tiek noteikta skaidri, precīzi un neatsaucami. Visas lettres de cachet tiek atceltas uz visiem laikiem, ar zināmiem grozījumiem, ko ģenerālštābi var uzskatīt par vajadzīgu ieviest.
Pants: Lai uz visiem laikiem novērstu iespēju nodarīt kaitējumu francūžu personiskajām un īpašumtiesībām, visās karalistes tiesās visās krimināllietās un civillietās faktu noteikšanai ievieš zvērināto sistēmu.
17. pants: Tiek atceltas visas atšķirības sodu noteikšanā, un noziegumi, ko izdarījuši dažādu kārtu pilsoņi, neatkarīgi no tā tiek sodīti saskaņā ar vienādiem likumiem un vienādā veidā. Ģenerālvalstis cenšas panākt, lai pārkāpuma sekas skartu tikai indivīdu un neattiektos uz pārkāpēja radiniekiem, kas paši nav vainīgi.
21. pants: Neviens nodoklis nav likumīgs, ja to nav pieņēmuši tautas pārstāvji un sankcionējis karalis.
-Versaļas Trešās muižniecības kolēģija, 1789. gads
Kuru no šīm pārmaiņām, ko izraisīja Franču revolūcija, Francijas zemnieki atbalstīja visvairāk?",Konstitucionālās monarhijas izveide,Feodālo nodevu un rentes atcelšana,Lielāka tautas līdzdalība politikā,Reliģijas nacionalizācija,B,high_school_european_history,114high_school_european_history
0,1. apgalvojums| Lineārās regresijas aplēsēm ir vismazākā dispersija starp visām objektīvajām aplēsēm. Apgalvojums 2| AdaBoost apkopotajiem klasifikatoriem piešķirtie koeficienti α vienmēr ir nenegatīvi.,"True, True","False, False","True, False","False, True",D,machine_learning,0machine_learning
112,"Kāds bija obligātais darbaspēka dienests, kas bija jāsniedz karalim apmaiņā pret privilēģiju izmantot īpašumu, kas piederēja Inku impērijai?",Khipu,Mit'a,Sadalīt mantojumu,Capacocha,B,prehistory,112prehistory
306,"Mērena un bieža apūdeņošana parasti ir vispiemērotākā kukurūzas kultūrām, kas aug",izkliedētā aluviālā ventilatora augsnē,"smagas struktūras augsnē, piemēram, mālainā mālā","vieglas struktūras augsnē, piemēram, smilšmāla augsnē",zema mitruma reģionā,C,miscellaneous,306miscellaneous
4,"Kurš no tālāk minētajiem apgalvojumiem visvairāk atbilst tam, ko, pēc Roulsa domām, POP izvēlētos attiecībā uz ""primārajiem sociālajiem labumiem""?","POP izvēlēsies bagātību, nevis līdzjūtīgu sabiedrību.","POP izvēlēsies vienlīdzību, nevis varu.",POP būs nesavtīgs.,POP izvēlēsies aizsargāt invalīdus.,A,jurisprudence,4jurisprudence
265,"A vitamīna trūkums bērniem izraisa:
",Goitra,vāja kognitīvā attīstība,vāja kaulu augšana,paaugstināts mirstības risks,D,nutrition,265nutrition
68,"Ja jūs domājat, ka kāda cilvēka arguments ir spēcīgs, pamatojoties uz pārliecinošu valodas lietojumu un pārliecinošu izklāstu, jūs, iespējams, esat pieļāvis kādu kļūdu?",Amfibola,Viennozīmīga atruna,Īpaša aizbildināšanās,Stila pārsvars pār būtību,D,logical_fallacies,68logical_fallacies
